,LATITUDE,LONGITUDE,CHL,datetime
133,53.2416,107.26385,1.04,2020-07-28T00:40:00
134,51.71965,104.983433333333,1.4,2020-09-17T11:49:00
135,51.6455666666667,104.228816666667,1.64,2020-09-18T09:57:00
136,51.6786166666667,103.871633333333,1.47,2020-09-19T02:08:00
137,51.7789,105.3705,1.92,2020-09-20T08:43:00
138,52.6651,106.851066666667,1.9,2020-09-22T04:05:00
139,52.8948333333333,107.53345,1.61,2020-09-22T15:01:00
140,53.1894,107.803683333333,2.36,2020-09-22T22:31:00
141,53.4553666666667,108.738166666667,2.03,2020-09-23T12:43:00
142,53.3557833333333,108.2207,0.9,2020-09-23T19:11:00
143,53.9420166666667,108.432333333333,0.47,2020-09-24T00:53:00
144,54.28235,108.7409,0.89,2020-09-24T05:07:00
145,54.4513333333333,109.0682,0.45,2020-09-24T12:48:00
146,55.3147833333333,109.482783333333,1.13,2020-09-25T07:18:00
147,55.5681,109.593483333333,1.05,2020-09-25T16:04:00
148,55.7171333333333,109.62485,1.61,2020-09-25T18:55:00
149,53.7577833333333,109.1256,1.56,2020-09-27T04:09:00
150,53.2426333333333,107.253816666667,0.89,2020-09-28T13:24:00
151,51.6759166666667,103.877766666667,1.81,2021-06-02T02:09:00
152,51.6464,104.226833333333,1.75,2021-06-02T15:05:00
153,51.7183833333333,104.985683333333,4.78,2020-06-03T13:02:00
154,51.7741833333333,105.364766666667,6.56,2020-06-04T08:56:00
155,52.66225,106.8484,3.01,2021-06-05T15:03:00
156,53.2395166666667,107.246833333333,3.49,2021-06-06T04:31:00
157,52.8953666666667,107.5327,1.81,2021-06-07T05:37:00
158,53.35695,108.217566666667,2.35,2021-06-08T03:00:00
159,53.942,108.4322,2.34,2021-06-09T00:41:00
160,54.2843,108.742116666667,1.7,2021-06-09T04:59:00
161,54.4513833333333,109.0685,1.69,2021-06-09T13:07:00
162,55.71745,109.62365,2.92,2021-06-10T22:47:00
163,55.5673833333333,109.593716666667,2.73,2021-06-11T01:28:00
164,53.7564666666667,109.1255,2.87,2021-06-12T04:04:00
165,51.6747,103.870633333333,2.35,2021-09-18T01:43:00
166,51.6436666666667,104.224583333333,1.94,2021-09-18T10:05:00
167,51.7182,104.984833333333,1.68,2021-09-19T09:00:00
168,51.7760333333333,105.358983333333,2.15,2021-09-20T02:56:00
169,52.6925666666667,106.8229,2.88,2021-09-21T10:22:00
170,52.8950166666667,107.533683333333,3.13,2021-09-22T10:53:00
171,53.3582,108.218466666667,2.73,2021-09-23T23:27:00
172,53.6079,108.43185,1.78,2021-09-24T08:38:00
173,54.2774,108.83065,1.86,2021-09-24T12:50:00
174,55.3228166666667,109.483283333333,2.01,2021-09-25T08:52:00
175,55.7168166666667,109.625716666667,2.18,2021-09-26T06:59:00
176,55.5664666666667,109.594033333333,1.85,2021-09-26T15:00:00
177,54.4515333333333,109.066133333333,2.18,2021-09-27T06:29:00
178,53.7583333333333,109.124666666667,3.87,2021-09-28T01:07:00
179,51.6758166666667,103.872383333333,0.83,2022-06-02T01:10:00
180,51.6478,104.231966666667,1.26,2022-06-02T08:57:00
181,51.7177666666667,104.983516666667,1.73,2022-06-03T00:23:00
182,51.7787833333333,105.371783333333,2.21,2022-06-04T02:15:00
183,52.6579833333333,106.847216666667,0.91,2022-06-05T00:51:00
184,52.89575,107.53405,2.32,2022-06-05T12:37:00
185,53.3561833333333,108.222816666667,1.25,2022-06-06T20:08:00
186,53.9406666666667,108.430216666667,1.03,2022-06-07T05:54:00
187,54.2861666666667,108.745683333333,0.69,2022-06-07T23:50:00
188,54.4524166666667,109.068216666667,0.65,2022-06-08T06:24:00
189,55.0395166666667,109.428216666667,1.09,2022-06-09T00:24:00
190,55.5682666666667,109.592983333333,1.76,2022-06-09T13:59:00
191,51.67695,103.876916666667,1.28,2022-07-27T14:05:00
192,51.64585,104.2256,1.72,2022-07-28T00:03:00
193,51.7755333333333,105.3784,2.87,2022-07-29T17:17:00
194,52.6695666666667,106.8622,1.54,2022-07-31T14:09:00
195,52.8950166666667,107.530016666667,2.03,2022-08-01T01:01:00
196,53.357,108.220816666667,2.12,2022-08-01T13:48:00
